Date,Code,CommodityId,CommodityName,DistrictName,DistrictCode,Stock,CommodityStock
2021-01-15,Tamil Nadu,2,Rice-Raw,THANJAVUR,SE16,62286.06,1108995.72
2021-01-15,Tamil Nadu,2,Rice-Raw,CUDDALORE(PONDICHERRY),SE17,12685.31,1108995.72
2021-01-15,Tamil Nadu,2,Rice-Raw,VELLORE,SE18,96859.47,1108995.72
2021-01-16,Tamil Nadu,2,Rice-Raw,COIMBATORE,SE12,700479.33,1108995.72
2021-01-16,Tamil Nadu,2,Rice-Raw,CHENNAI,SE14,95707.07,1108995.72
2021-01-16,Tamil Nadu,2,Rice-Raw,THOOTHUKKUDI,SE15,140978.46,1108995.72
2021-01-16,Tamil Nadu,2,Rice-Raw,THANJAVUR,SE16,62286.06,1108995.72
2021-01-16,Tamil Nadu,2,Rice-Raw,CUDDALORE(PONDICHERRY),SE17,12685.31,1108995.72
2021-01-16,Tamil Nadu,2,Rice-Raw,VELLORE,SE18,96859.47,1108995.72
2021-01-17,Tamil Nadu,2,Rice-Raw,COIMBATORE,SE12,700479.33,1108995.72
2021-01-17,Tamil Nadu,2,Rice-Raw,CHENNAI,SE14,95707.07,1108995.72
2021-01-17,Tamil Nadu,2,Rice-Raw,THOOTHUKKUDI,SE15,140978.46,1108995.72
2021-01-17,Tamil Nadu,2,Rice-Raw,THANJAVUR,SE16,62286.06,1108995.72
2021-01-17,Tamil Nadu,2,Rice-Raw,CUDDALORE(PONDICHERRY),SE17,12685.31,1108995.72
2021-01-17,Tamil Nadu,2,Rice-Raw,VELLORE,SE18,96859.47,1108995.72
2021-01-18,Tamil Nadu,2,Rice-Raw,COIMBATORE,SE12,700479.33,1106864.03
2021-01-18,Tamil Nadu,2,Rice-Raw,CHENNAI,SE14,95707.07,1106864.03
2021-01-18,Tamil Nadu,2,Rice-Raw,THOOTHUKKUDI,SE15,140976.35,1106864.03
2021-01-18,Tamil Nadu,2,Rice-Raw,THANJAVUR,SE16,62286.06,1106864.03
